iter	Logloss
0	0.5105223829
1	0.4079624365
2	0.3512434022
3	0.3150403723
4	0.292452256
5	0.2798188929
6	0.2710695957
7	0.2664552272
8	0.2624952795
9	0.2600980815
10	0.2577499074
11	0.2560122232
12	0.2547313674
13	0.2538430891
14	0.2533107081
15	0.2524627141
16	0.2518644221
17	0.2512753316
18	0.2509103714
19	0.2503995314
20	0.2500584017
21	0.2497634229
22	0.2494796705
23	0.2491752675
24	0.2489289196
25	0.2485953667
26	0.2483807478
27	0.2480860905
28	0.2479267438
29	0.2476598803
30	0.2474658373
31	0.2473022513
32	0.2471346478
33	0.2469466213
34	0.2467226007
35	0.2464584445
36	0.2462337708
37	0.2461164202
38	0.245948875
39	0.2457528209
40	0.2456212165
41	0.2454464146
42	0.2452849373
43	0.2451265823
44	0.2450118471
45	0.2448248052
46	0.2446979035
47	0.2444993993
48	0.2442444425
49	0.2441498094
50	0.2439554707
51	0.2437876037
52	0.2435115154
53	0.243366754
54	0.2432903603
55	0.24309529
56	0.2430268339
57	0.2428489671
58	0.2425488592
59	0.2422769138
60	0.2420307626
61	0.2419100728
62	0.2417367002
63	0.2416896068
64	0.2415606807
65	0.2413857327
66	0.241252334
67	0.2409217021
68	0.2407232068
69	0.2405594721
70	0.2404417781
71	0.2402748666
72	0.2400135498
73	0.2399891664
74	0.2398611434
75	0.2397015722
76	0.2395553675
77	0.2393397001
78	0.2391345863
79	0.2390045361
80	0.2387762097
81	0.2387555477
82	0.2385117516
83	0.2383758731
84	0.2382806342
85	0.2381031614
86	0.2378397229
87	0.2376567147
88	0.2375418867
89	0.2373136834
90	0.2371880164
91	0.2370314633
92	0.2368665274
93	0.2367507825
94	0.2364976982
95	0.2363953835
96	0.2362226689
97	0.2360011201
98	0.2357075304
99	0.235589594
100	0.2354014795
101	0.2353464315
102	0.2353442057
103	0.2352161863
104	0.2350927205
105	0.2349365744
106	0.2346653224
107	0.234582354
108	0.2344625853
109	0.2343589134
110	0.2342164586
111	0.2340236862
112	0.2338766154
113	0.2336881589
114	0.233597795
115	0.2335044262
116	0.2332721963
117	0.2331271738
118	0.2329984136
119	0.2328445123
120	0.2327368472
121	0.2325512975
122	0.2324517724
123	0.2322742656
124	0.2321565497
125	0.2319777857
126	0.2318734752
127	0.2318719751
128	0.2318078946
129	0.2316379598
130	0.231392434
131	0.2312076219
132	0.231062927
133	0.2309167051
134	0.2307907123
135	0.2305444781
136	0.2303956022
137	0.2302485949
138	0.2301418374
139	0.2300002773
140	0.229801353
141	0.2296281791
142	0.2295222139
143	0.2293839384
144	0.2291481323
145	0.2290417582
146	0.2289143008
147	0.2288071671
148	0.2287975059
149	0.2287192036
150	0.2286100388
151	0.2284786947
152	0.2283395979
153	0.2281860298
154	0.2281101458
155	0.227885629
156	0.2277220303
157	0.2276656424
158	0.2275992583
159	0.2275959611
160	0.2274729895
161	0.2273540822
162	0.22714355
163	0.2269787647
164	0.2268472324
165	0.2266795061
166	0.2264913818
167	0.2263836778
168	0.2262577207
169	0.2261283821
170	0.2259771074
171	0.225867786
172	0.2257167042
173	0.225585686
174	0.2254432392
175	0.2252919843
176	0.2250652571
177	0.2249418749
178	0.2247968885
179	0.2247186688
180	0.2245286938
181	0.2243529649
182	0.2242997765
183	0.2242078525
184	0.2241404916
185	0.223965739
186	0.2238895314
187	0.2237279036
188	0.2236106373
189	0.2234465463
190	0.2233309802
191	0.2232543437
192	0.2232419174
193	0.2231775252
194	0.223086088
195	0.2230854764
196	0.2228732974
197	0.2227782437
198	0.222561464
199	0.2224300509
200	0.2223113452
201	0.2221989666
202	0.2221661407
203	0.2219830583
204	0.221833047
205	0.2217899306
206	0.2216855759
207	0.2215736379
208	0.221469967
209	0.2213647067
210	0.221214734
211	0.2209959125
212	0.2208245669
213	0.2206469619
214	0.2206060113
215	0.2205219701
216	0.220412628
217	0.2202772972
218	0.2201083317
219	0.2199698541
220	0.2198841703
221	0.2197383016
222	0.2196228428
223	0.2194405031
224	0.2192435136
225	0.2191691612
226	0.2190330796
227	0.2189009922
228	0.2187019199
229	0.2185837936
230	0.2185261981
231	0.2183943941
232	0.2183307167
233	0.2182112832
234	0.2180506159
235	0.2179098567
236	0.2178318127
237	0.2176683776
238	0.2174978413
239	0.217305539
240	0.2171537186
241	0.2169760358
242	0.2167981776
243	0.2166848914
244	0.216552653
245	0.2164432052
246	0.2163360205
247	0.2162545578
248	0.2161169552
249	0.2160175779
250	0.2158553209
251	0.2158031991
252	0.2157188623
253	0.2156051537
254	0.2154003659
255	0.2152656375
256	0.215132149
257	0.2150048932
258	0.214816795
259	0.2146311585
260	0.2145067438
261	0.2143790961
262	0.2142724011
263	0.2141352019
264	0.2140651151
265	0.2140171718
266	0.2138982922
267	0.2137685712
268	0.2136650147
269	0.2135267502
270	0.2133752591
271	0.2132329615
272	0.2131344035
273	0.2129695499
274	0.2128710923
275	0.2127621399
276	0.2126205789
277	0.2124439037
278	0.2123330378
279	0.2122269267
280	0.2120371371
281	0.2118369492
282	0.2117557461
283	0.2116754987
284	0.211522023
285	0.2114497789
286	0.2112589269
287	0.2111243358
288	0.2110306155
289	0.2108527478
290	0.2107699376
291	0.2106303261
292	0.2105690335
293	0.2104455802
294	0.210364131
295	0.21018219
296	0.2100997522
297	0.2099904495
298	0.2098315694
299	0.2097112058
