iter	Passed	Remaining
0	213	63851
1	428	63848
2	620	61432
3	850	62935
4	1108	65418
5	1325	64940
6	1578	66052
7	1788	65284
8	2021	65372
9	2245	65105
10	2476	65063
11	2708	65002
12	2986	65927
13	3234	66066
14	3445	65470
15	3670	65157
16	3891	64788
17	4136	64798
18	4358	64454
19	4621	64703
20	4855	64511
21	5053	63853
22	5274	63525
23	5506	63320
24	5714	62864
25	5957	62785
26	6159	62283
27	6382	62001
28	6580	61493
29	6783	61055
30	6981	60582
31	7178	60122
32	7384	59749
33	7590	59381
34	7825	59248
35	8055	59072
36	8276	58830
37	8449	58259
38	8684	58121
39	8908	57902
40	9114	57577
41	9310	57194
42	9523	56922
43	9730	56611
44	9907	56139
45	10113	55843
46	10323	55571
47	10536	55316
48	10786	55254
49	11020	55100
50	11247	54912
51	11484	54770
52	11726	54647
53	11940	54393
54	12130	54035
55	12336	53753
56	12534	53436
57	12747	53186
58	12987	53052
59	13246	52985
60	13454	52715
61	13679	52510
62	13890	52255
63	14068	51877
64	14252	51526
65	14476	51326
66	14685	51069
67	14959	51037
68	15226	50976
69	15414	50646
70	15604	50330
71	15800	50034
72	16029	49845
73	16189	49442
74	16411	49235
75	16624	48998
76	16821	48716
77	17044	48512
78	17259	48282
79	17453	47997
80	17678	47796
81	17865	47496
82	18094	47306
83	18278	47001
84	18461	46697
85	18693	46515
86	18944	46382
87	19168	46178
88	19346	45865
89	19585	45699
90	19766	45398
91	19985	45185
92	20184	44926
93	20381	44665
94	20625	44508
95	20801	44202
96	20999	43947
97	21206	43711
98	21427	43504
99	21626	43253
100	21824	43000
101	22006	42719
102	22159	42382
103	22356	42133
104	22553	41884
105	22784	41700
106	22997	41481
107	23181	41210
108	23400	41003
109	23600	40764
110	23823	40563
111	24051	40372
112	24282	40184
113	24514	39996
114	24698	39732
115	24899	39496
116	25136	39316
117	25367	39125
118	25575	38901
119	25854	38782
120	26086	38590
121	26330	38415
122	26549	38205
123	26752	37971
124	26954	37736
125	27175	37528
126	27359	37269
127	27514	36973
128	27696	36714
129	27883	36463
130	28102	36254
131	28335	36063
132	28579	35886
133	28796	35673
134	28991	35433
135	29219	35235
136	29429	35015
137	29645	34801
138	29835	34557
139	30058	34352
140	30289	34156
141	30503	33940
142	30705	33711
143	30937	33516
144	31182	33332
145	31416	33138
146	31626	32917
147	31831	32692
148	31952	32381
149	32150	32150
150	32352	31924
151	32563	31706
152	32775	31489
153	32990	31276
154	33192	31051
155	33405	30835
156	33607	30610
157	33802	30379
158	34013	30163
159	34185	29912
160	34373	29676
161	34569	29448
162	34796	29245
163	35021	29041
164	35234	28828
165	35463	28627
166	35698	28430
167	35902	28209
168	36113	27993
169	36325	27778
170	36558	27579
171	36779	27370
172	36996	27159
173	37186	26928
174	37442	26744
175	37635	26515
176	37865	26313
177	38090	26106
178	38339	25916
179	38510	25673
180	38747	25475
181	38973	25268
182	39197	25060
183	39402	24840
184	39599	24615
185	39834	24414
186	40013	24179
187	40221	23961
188	40439	23750
189	40662	23541
190	40870	23323
191	41081	23108
192	41257	22873
193	41442	22644
194	41654	22429
195	41826	22193
196	42075	21999
197	42265	21773
198	42482	21561
199	42689	21344
200	42905	21132
201	43113	20916
202	43281	20681
203	43492	20467
204	43707	20254
205	43873	20019
206	44078	19803
207	44276	19583
208	44468	19361
209	44668	19143
210	44883	18931
211	45111	18725
212	45313	18508
213	45515	18291
214	45697	18066
215	45915	17856
216	46120	17640
217	46359	17437
218	46587	17231
219	46819	17025
220	47044	16816
221	47262	16605
222	47456	16386
223	47678	16176
224	47948	15982
225	48130	15759
226	48326	15541
227	48525	15323
228	48761	15118
229	48981	14907
230	49154	14682
231	49384	14474
232	49559	14250
233	49783	14041
234	49996	13828
235	50227	13620
236	50434	13406
237	50653	13195
238	50867	12983
239	51113	12778
240	51347	12570
241	51562	12358
242	51803	12151
243	52011	11937
244	52228	11724
245	52429	11508
246	52649	11297
247	52824	11076
248	53033	10862
249	53276	10655
250	53548	10453
251	53779	10243
252	54008	10033
253	54247	9824
254	54509	9619
255	54765	9412
256	55021	9205
257	55278	8998
258	55556	8794
259	55831	8589
260	56085	8380
261	56347	8172
262	56578	7959
263	56830	7749
264	57034	7532
265	57245	7317
266	57476	7103
267	57675	6886
268	57863	6668
269	58093	6454
270	58315	6240
271	58531	6025
272	58755	5810
273	59000	5598
274	59202	5382
275	59419	5166
276	59638	4951
277	59890	4739
278	60099	4523
279	60328	4309
280	60566	4095
281	60800	3880
282	60988	3663
283	61187	3447
284	61395	3231
285	61582	3014
286	61785	2798
287	62018	2584
288	62226	2368
289	62430	2152
290	62651	1937
291	62884	1722
292	63083	1507
293	63293	1291
294	63495	1076
295	63714	861
296	63924	645
297	64110	430
298	64338	215
299	64548	0
